symptoms,department
"lower abdominal pain urination, kidney stone pain, blood in urine, painful urination with fever",Urologist
"muscle strain, shoulder pain",Orthopedic
"shoulder pain, fracture",Orthopedic
"lower back pain radiating, bone pain, shoulder pain",Orthopedic
"difficulty starting urination, back pain near kidneys, reduced urine flow",Urologist
"depressed mood, hallucinations, panic attacks",Psychiatrist
"indigestion, constipation",Gastroenterologist
"neck pain radiating, dizziness, tremor",Neurologist
"blood in stool, non healing ulcer, night sweats, persistent hoarseness",Oncologist
"neck pain radiating, tremor, migraine",Neurologist
"migraine, memory loss",Neurologist
"non healing ulcer, night sweats",Oncologist
"ringworm, pigmentation, redness, eczema",Dermatologist
"eye discharge, dry eyes, red eye",Ophthalmologist
"groin pain, burning urination, lower abdominal pain urination",Urologist
"night urination, frequent urination",Urologist
"irregular heartbeat, fainting, chest pain",Cardiologist
"itching, vaginal infection, missed period",Gynecologist
"eye pain, sensitivity to light, swollen eyelid",Ophthalmologist
"difficulty walking, shoulder pain, muscle strain",Orthopedic
"ear pain, ringing in ear, ear discharge",ENT
"painful periods, lower abdominal pain, postpartum bleeding",Gynecologist
"swollen neck glands, sinus pain, ringing in ear",ENT
"balance problem, fainting, migraine, neck pain radiating",Neurologist
"food poisoning, vomiting, diarrhea",Gastroenterologist
"stomach cramps, food poisoning, indigestion, blood in stool",Gastroenterologist
"depressed mood, suicidal thoughts, mood swings, trauma flashbacks",Psychiatrist
"difficulty concentrating, addiction, insomnia",Psychiatrist
"fainting, tremor, balance problem",Neurologist
"toothache, swollen gums, tooth sensitivity",Dentist
"sore throat, chills, loss of appetite, headache",General Physician
"dizziness, memory loss, tingling, seizure",Neurologist
"urine infection, back pain near kidneys, difficulty starting urination",Urologist
"anxiety, depressed mood, panic attacks",Psychiatrist
"acidity, vomiting, jaundice",Gastroenterologist
"pcos symptoms, irregular periods, lower abdominal pain, itching",Gynecologist
"vaccination query, child wheezing, child stomach pain",Pediatrician
"headache, weakness, low grade fever",General Physician
"testicular swelling, urinary urgency, lower abdominal pain urination, back pain near kidneys",Urologist
"testicular swelling, urine leakage, frequent urination",Urologist
"vaccination query, child sore throat, dehydration, newborn feeding issue",Pediatrician
"social anxiety, stress, mood swings, addiction",Psychiatrist
"child cough, rash with fever, baby constipation, vaccination query",Pediatrician
"pcos symptoms, irregular periods, lower abdominal pain",Gynecologist
"swollen eyelid, watering eyes",Ophthalmologist
"shortness of breath, leg swelling, high blood pressure",Cardiologist
"pcos symptoms, pregnancy nausea, heavy bleeding",Gynecologist
"overthinking, mood swings",Psychiatrist
"severe headache, tingling, balance problem, speech difficulty",Neurologist
"pain while chewing, pus near gum",Dentist
"sore throat, dizziness, runny nose",ENT
"hearing loss, ear pain",ENT
"irregular periods, white discharge, spotting, painful periods",Gynecologist
"fungal infection, ringworm, redness",Dermatologist
"bad breath, broken tooth, wisdom tooth pain, cavity pain",Dentist
"jaw pain, broken tooth, cavity pain",Dentist
"bleeding while brushing, jaw pain",Dentist
"loss of appetite, constipation, vomiting",Gastroenterologist
"groin pain, difficulty starting urination",Urologist
"blood in stool, difficulty swallowing",Oncologist
"hives, pigmentation, acne",Dermatologist
"overthinking, addiction, panic attacks",Psychiatrist
"vaginal infection, pcos symptoms, pregnancy nausea",Gynecologist
"swelling, joint pain, knee pain, back pain",Orthopedic
"pigmentation, boils, fungal infection",Dermatologist
"balance problem, tingling, neck pain radiating",Neurologist
"left arm pain, palpitations, rapid heartbeat",Cardiologist
"heavy bleeding, vaginal infection, pcos symptoms",Gynecologist
"wrist injury, muscle strain",Orthopedic
"dehydration, child wheezing",Pediatrician
"ear pain, tonsillitis, allergic rhinitis",ENT
"cavity pain, tooth sensitivity, tooth pain with headache, pus near gum",Dentist
"vaginal infection, breast tenderness",Gynecologist
"leg swelling, breathlessness at night, chest pain",Cardiologist
"breast tenderness, irregular periods, vaginal infection",Gynecologist
"jaw pain, pain while chewing, swollen gums",Dentist
"lower abdominal pain urination, difficulty starting urination, frequent urination, night urination",Urologist
"bleeding while brushing, bleeding gums, tooth sensitivity",Dentist
"weakness, low grade fever",General Physician
"persistent bone pain, swollen lymph nodes, loss of appetite",Oncologist
"pcos symptoms, postpartum bleeding, heavy bleeding",Gynecologist
"night sweats, blood in cough, breast lump, persistent bone pain",Oncologist
"wrist injury, joint pain",Orthopedic
"double vision, dry eyes, sudden vision loss, itchy eyes",Ophthalmologist
"memory loss, fainting",Neurologist
"shoulder pain, fracture, hip pain",Orthopedic
"ear pain, nose bleeding, sore throat, vertigo",ENT
"boils, hair fall",Dermatologist
"burning urination, blood in urine, frequent urination",Urologist
"abdominal pain, stomach cramps",Gastroenterologist
"weakness, cold, runny nose",General Physician
"neck stiffness, fracture",Orthopedic
"groin pain, back pain near kidneys, blood in urine",Urologist
"stress, anger issues",Psychiatrist
"dizziness, chest pain, palpitations, leg swelling",Cardiologist
"breathlessness at night, irregular heartbeat, leg swelling, pressure in chest",Cardiologist
"psoriasis, dandruff, hair fall",Dermatologist
"nose bleeding, tonsillitis, loss of voice, hearing loss",ENT
"suicidal thoughts, anxiety, depressed mood, hopelessness",Psychiatrist
"vomiting, food poisoning, indigestion, jaundice",Gastroenterologist
"tooth sensitivity, gum swelling",Dentist
"postpartum bleeding, irregular periods, breast tenderness, period cramps",Gynecologist
"fungal infection, skin rash, dandruff",Dermatologist
"dizziness, breathlessness at night, chest pain",Cardiologist
"painful urination with fever, burning urination, groin pain",Urologist
"depressed mood, mood swings, addiction",Psychiatrist
"sprain, wrist injury, joint pain",Orthopedic
"jaundice, constipation, food poisoning",Gastroenterologist
"hip pain, arthritis, lower back pain radiating, shoulder pain",Orthopedic
"ear pain, rash with fever, dehydration, child wheezing",Pediatrician
"vomiting, constipation",Gastroenterologist
"toothache, cavity pain, wisdom tooth pain, jaw pain",Dentist
"dizziness, cough, chills",General Physician
"fatigue with breathlessness, fainting, palpitations",Cardiologist
"rapid heartbeat, palpitations, leg swelling, dizziness",Cardiologist
"pain while chewing, tooth pain with headache, cavity pain",Dentist
"severe headache, tingling, numbness",Neurologist
"dandruff, hives, itching, skin rash",Dermatologist
"period cramps, lower abdominal pain, itching",Gynecologist
"difficulty swallowing, persistent fatigue, swollen lymph nodes, night sweats",Oncologist
"throat infection, sore throat, sinus pain",ENT
"child stomach pain, baby vomiting, dehydration, child wheezing",Pediatrician
"migraine, tingling, memory loss, dizziness",Neurologist
"itching, boils, pigmentation",Dermatologist
"neck pain radiating, blurred vision with headache, fainting, speech difficulty",Neurologist
"child stomach pain, diarrhea",Pediatrician
"dandruff, acne, boils",Dermatologist
"sore throat, ear pain, throat infection",ENT
"unexplained weight loss, persistent hoarseness, persistent cough, blood in cough",Oncologist
"joint pain, muscle strain, fracture",Orthopedic
"child sore throat, diarrhea, ear pain",Pediatrician
"swollen lymph nodes, persistent hoarseness, blood in stool",Oncologist
"loss of appetite, fatigue, chills, headache",General Physician
"pain while chewing, bad breath, wisdom tooth pain",Dentist
"double vision, blurred vision, eye discharge",Ophthalmologist
"rapid heartbeat, dizziness",Cardiologist
"persistent bone pain, swollen lymph nodes",Oncologist
"fever, chills, low grade fever",General Physician
"mood swings, panic attacks, suicidal thoughts",Psychiatrist
"persistent fatigue, blood in stool",Oncologist
"panic attacks, social anxiety, stress",Psychiatrist
"trauma flashbacks, difficulty concentrating, insomnia",Psychiatrist
"gas, jaundice",Gastroenterologist
"dandruff, redness, acne",Dermatologist
"urinary urgency, lower abdominal pain urination, back pain near kidneys",Urologist
"cold, weakness, mild fever",General Physician
"social anxiety, panic attacks",Psychiatrist
"heartburn, indigestion, constipation, diarrhea",Gastroenterologist
"dry skin, eczema, acne, hives",Dermatologist
"persistent hoarseness, unusual bleeding, difficulty swallowing, breast lump",Oncologist
"runny nose, loss of appetite",General Physician
"non healing ulcer, abdominal swelling, breast lump, persistent hoarseness",Oncologist
"diarrhea, food poisoning, constipation",Gastroenterologist
"night urination, back pain near kidneys, urine infection",Urologist
"runny nose, ear pain, tonsillitis, ear discharge",ENT
"eye strain headache, blurred vision, foreign body sensation",Ophthalmologist
"sprain, lower back pain radiating, swelling",Orthopedic
"painful periods, missed period",Gynecologist
"pregnancy nausea, irregular periods, white discharge",Gynecologist
"irregular heartbeat, dizziness",Cardiologist
"hallucinations, panic attacks",Psychiatrist
"itching, pcos symptoms, irregular periods",Gynecologist
"tonsillitis, blocked nose",ENT
"food poisoning, constipation, diarrhea",Gastroenterologist
"testicular swelling, painful urination with fever",Urologist
"bad breath, cavity pain, pus near gum, gum swelling",Dentist
"dry skin, hair fall, pigmentation",Dermatologist
"pressure in chest, fainting, leg swelling",Cardiologist
"spotting, white discharge, missed period, breast tenderness",Gynecologist
"back pain, swelling",Orthopedic
"persistent bone pain, unexplained weight loss, blood in cough",Oncologist
"persistent fatigue, difficulty swallowing, abdominal swelling",Oncologist
"itching, vaginal infection",Gynecologist
"high blood pressure, irregular heartbeat, leg swelling",Cardiologist
"wrist injury, difficulty walking",Orthopedic
"frequent urination, difficulty starting urination",Urologist
"spotting, missed period, painful periods",Gynecologist
"pressure in chest, palpitations, chest tightness",Cardiologist
"food poisoning, nausea, constipation",Gastroenterologist
"food poisoning, indigestion, abdominal pain",Gastroenterologist
"stomach cramps, acidity, constipation",Gastroenterologist
"watering eyes, red eye, eye strain headache",Ophthalmologist
"sore throat, chills, fever",General Physician
"addiction, anxiety, panic attacks",Psychiatrist
"anger issues, suicidal thoughts, mood swings",Psychiatrist
"constipation, indigestion, gas",Gastroenterologist
"acidity, blood in stool, constipation",Gastroenterologist
"loss of appetite, body ache",General Physician
"lower abdominal pain, period cramps, postpartum bleeding",Gynecologist
"gas, abdominal pain, food poisoning, vomiting",Gastroenterologist
"lower back pain radiating, hip pain, difficulty walking, joint pain",Orthopedic
"foreign body sensation, eye strain headache, sensitivity to light, double vision",Ophthalmologist
"fever, headache",General Physician
"runny nose, weakness, body ache",General Physician
"jaw pain, gum swelling, tooth sensitivity",Dentist
"low grade fever, weakness",General Physician
"suicidal thoughts, hopelessness",Psychiatrist
"non healing ulcer, abdominal swelling, persistent hoarseness",Oncologist
"tremor, numbness, severe headache, memory loss",Neurologist
"dizziness, migraine",Neurologist
"headache, body ache, loss of appetite, mild fever",General Physician
"itching, breast tenderness, lower abdominal pain, spotting",Gynecologist
"food poisoning, diarrhea, vomiting, indigestion",Gastroenterologist
"unexplained weight loss, persistent bone pain, persistent hoarseness",Oncologist
"joint pain, wrist injury, fracture",Orthopedic
"itching, fungal infection",Dermatologist
"wisdom tooth pain, jaw pain",Dentist
"pcos symptoms, pelvic pain, breast tenderness, period cramps",Gynecologist
"persistent bone pain, difficulty swallowing, loss of appetite",Oncologist
"dry skin, eczema, acne",Dermatologist
"severe headache, blurred vision with headache, tingling",Neurologist
"heavy bleeding, spotting, lower abdominal pain",Gynecologist
"fracture, sprain, difficulty walking, arthritis",Orthopedic
"night sweats, breast lump, loss of appetite",Oncologist
"hallucinations, addiction, anger issues",Psychiatrist
"mouth ulcer, swollen gums, gum swelling",Dentist
"pcos symptoms, vaginal infection, lower abdominal pain",Gynecologist
"urine infection, kidney stone pain, burning urination",Urologist
"pelvic pain, vaginal infection, heavy bleeding",Gynecologist
"hopelessness, trauma flashbacks, addiction",Psychiatrist
"insomnia, addiction, panic attacks",Psychiatrist
"foreign body sensation, blurred vision, swollen eyelid",Ophthalmologist
"suicidal thoughts, hopelessness",Psychiatrist
"unexplained weight loss, persistent hoarseness, abdominal swelling, persistent fatigue",Oncologist
"vaginal infection, white discharge, pregnancy nausea, period cramps",Gynecologist
"hearing loss, tonsillitis",ENT
"dizziness, sweating, chest tightness, leg swelling",Cardiologist
"left arm pain, high blood pressure, chest tightness",Cardiologist
"dizziness, high blood pressure, chest tightness",Cardiologist
"child wheezing, child sore throat",Pediatrician
"sore throat, weakness, loss of appetite",General Physician
"fainting, dizziness, blurred vision with headache",Neurologist
"tremor, seizure, speech difficulty",Neurologist
"loss of appetite, unexplained weight loss",Oncologist
"dry skin, pigmentation, dandruff",Dermatologist
"nausea, indigestion",Gastroenterologist
"blood in stool, unusual bleeding, unexplained weight loss, persistent hoarseness",Oncologist
"confusion, fainting, speech difficulty, tingling",Neurologist
"period cramps, breast tenderness",Gynecologist
"constipation, gas, loss of appetite",Gastroenterologist
"headache, runny nose, low grade fever",General Physician
"swelling, shoulder pain, sprain, bone pain",Orthopedic
"itching, redness, pigmentation",Dermatologist
"bleeding while brushing, pus near gum, swollen gums",Dentist
"mouth ulcer, gum swelling",Dentist
"depressed mood, panic attacks",Psychiatrist
"dehydration, baby vomiting",Pediatrician
"tremor, severe headache, seizure",Neurologist
"fast breathing, child wheezing",Pediatrician
"mouth ulcer, pain while chewing, wisdom tooth pain",Dentist
"pus near gum, gum swelling",Dentist
"overthinking, difficulty concentrating, depressed mood",Psychiatrist
"fracture, wrist injury, shoulder pain",Orthopedic
"suicidal thoughts, trauma flashbacks, panic attacks",Psychiatrist
"persistent bone pain, persistent hoarseness",Oncologist
"shortness of breath, leg swelling, palpitations, chest tightness",Cardiologist
"wisdom tooth pain, bleeding gums, jaw pain, mouth ulcer",Dentist
"hives, skin rash, dry skin",Dermatologist
"hearing loss, swollen neck glands",ENT
"urine infection, difficulty starting urination, painful urination with fever",Urologist
"palpitations, rapid heartbeat, chest pain",Cardiologist
"abdominal swelling, unexplained weight loss, persistent hoarseness",Oncologist
"skin rash, skin allergy",Dermatologist
"memory loss, migraine, dizziness, neck pain radiating",Neurologist
"period cramps, postpartum bleeding, white discharge, vaginal infection",Gynecologist
"swollen neck glands, blocked nose, throat infection",ENT
"persistent cough, abdominal swelling, persistent bone pain",Oncologist
"frequent urination, urinary urgency, night urination",Urologist
"acne, ringworm, psoriasis",Dermatologist
"blood in urine, frequent urination, testicular swelling",Urologist
"sinus pain, tonsillitis, ear discharge",ENT
"spotting, itching, breast tenderness, lower abdominal pain",Gynecologist
"child stomach pain, child wheezing",Pediatrician
"cough, low grade fever",General Physician
"dry eyes, eye discharge, sensitivity to light",Ophthalmologist
"leg swelling, fainting",Cardiologist
"cough, body ache",General Physician
"hallucinations, difficulty concentrating, depressed mood",Psychiatrist
"dry skin, dandruff, skin rash",Dermatologist
"vertigo, sore throat, runny nose",ENT
"swollen neck glands, blocked nose, allergic rhinitis",ENT
"vertigo, ringing in ear, hearing loss",ENT
"eye pain, difficulty seeing far, foreign body sensation",Ophthalmologist
"social anxiety, suicidal thoughts, hallucinations",Psychiatrist
"fungal infection, pigmentation, psoriasis, eczema",Dermatologist
"eye pain, watering eyes, sudden vision loss",Ophthalmologist
"bleeding while brushing, wisdom tooth pain",Dentist
"boils, ringworm",Dermatologist
"eye pain, foreign body sensation, eye discharge",Ophthalmologist
"postpartum bleeding, missed period, breast tenderness",Gynecologist
"skin rash, fungal infection",Dermatologist
"psoriasis, skin rash, hives",Dermatologist
"blurred vision, itchy eyes, difficulty seeing far",Ophthalmologist
"irregular heartbeat, shortness of breath, fatigue with breathlessness, pressure in chest",Cardiologist
"seizure, tremor, balance problem, neck pain radiating",Neurologist
"body ache, dizziness",General Physician
"shortness of breath, leg swelling, fainting",Cardiologist
"severe headache, memory loss, tremor, speech difficulty",Neurologist
"leg swelling, irregular heartbeat, dizziness",Cardiologist
"loss of voice, tonsillitis, hearing loss, ear discharge",ENT
"blood in cough, loss of appetite, persistent bone pain, swollen lymph nodes",Oncologist
"newborn feeding issue, dehydration, blocked nose",Pediatrician
"heartburn, gas",Gastroenterologist
"bone pain, shoulder pain, sprain, difficulty walking",Orthopedic
"eye strain headache, sensitivity to light, sudden vision loss",Ophthalmologist
"hallucinations, addiction, overthinking, anger issues",Psychiatrist
"blood in stool, stomach cramps, nausea",Gastroenterologist
"lower abdominal pain urination, groin pain, back pain near kidneys",Urologist
"red eye, eye strain headache, dry eyes",Ophthalmologist
"spotting, vaginal infection, painful periods, period cramps",Gynecologist
"night sweats, persistent bone pain",Oncologist
"blocked nose, child cough, child sore throat",Pediatrician
"blood in stool, difficulty swallowing, non healing ulcer",Oncologist
"diarrhea, dehydration",Pediatrician
"bleeding gums, pus near gum",Dentist
"vaginal infection, pelvic pain, painful periods",Gynecologist
"loss of voice, blocked nose, throat infection, runny nose",ENT
"leg swelling, irregular heartbeat, chest tightness, chest pain",Cardiologist
"nose bleeding, allergic rhinitis, sinus pain",ENT
"sore throat, flu, headache",General Physician
"hearing loss, ringing in ear, ear pain",ENT
"child cough, child fever, child wheezing",Pediatrician
"insomnia, trauma flashbacks",Psychiatrist
"white discharge, breast tenderness, postpartum bleeding",Gynecologist
"persistent cough, unusual bleeding, non healing ulcer",Oncologist
"eye strain headache, night vision problem, dry eyes, watering eyes",Ophthalmologist
"baby constipation, fast breathing, blocked nose",Pediatrician
"irregular heartbeat, rapid heartbeat, chest pain",Cardiologist
"blocked nose, diarrhea, baby vomiting",Pediatrician
"mood swings, panic attacks, anxiety",Psychiatrist
"pus near gum, swollen gums, mouth ulcer",Dentist
"tonsillitis, swollen neck glands, sinus pain",ENT
"chills, loss of appetite",General Physician
"jaw pain, bleeding gums",Dentist
"jaundice, stomach cramps",Gastroenterologist
"vaginal infection, painful periods, pelvic pain, irregular periods",Gynecologist
"anger issues, panic attacks",Psychiatrist
"itching, hives, eczema, fungal infection",Dermatologist
"mouth ulcer, tooth pain with headache",Dentist
"panic attacks, depressed mood, suicidal thoughts",Psychiatrist
"fracture, difficulty walking",Orthopedic
"gum swelling, wisdom tooth pain, bleeding gums",Dentist
"persistent bone pain, persistent fatigue, difficulty swallowing",Oncologist
"wrist injury, lower back pain radiating",Orthopedic
"migraine, neck pain radiating, seizure",Neurologist
"sensitivity to light, red eye",Ophthalmologist
"painful periods, breast tenderness",Gynecologist
"vomiting, constipation, stomach cramps, indigestion",Gastroenterologist
"groin pain, night urination, reduced urine flow",Urologist
"persistent fatigue, loss of appetite, unusual bleeding",Oncologist
"cough, fever, dizziness",General Physician
"migraine, tingling, one sided weakness, seizure",Neurologist
"diarrhea, child wheezing",Pediatrician
"hearing loss, nose bleeding, sinus pain",ENT
"dry skin, ringworm, hives",Dermatologist
"jaw pain, broken tooth, toothache",Dentist
"fatigue with breathlessness, fainting, palpitations, chest pain",Cardiologist
"loss of appetite, diarrhea, gas",Gastroenterologist
"pigmentation, hives, hair fall",Dermatologist
"burning urination, urine leakage, kidney stone pain",Urologist
"sore throat, runny nose",ENT
"stress, anger issues, insomnia",Psychiatrist
"fainting, confusion, severe headache, tingling",Neurologist
"depressed mood, trauma flashbacks, stress",Psychiatrist
"child cough, child sore throat",Pediatrician
"tremor, severe headache, confusion",Neurologist
"difficulty swallowing, breast lump, loss of appetite",Oncologist
"food poisoning, abdominal pain, loss of appetite",Gastroenterologist
"ear discharge, swollen neck glands, blocked nose",ENT
"constipation, indigestion, food poisoning",Gastroenterologist
"suicidal thoughts, insomnia, overthinking, depressed mood",Psychiatrist
"knee pain, neck stiffness, joint pain",Orthopedic
"frequent urination, testicular swelling",Urologist
"white discharge, spotting",Gynecologist
"watering eyes, red eye, blurred vision, sudden vision loss",Ophthalmologist
"sinus pain, nose bleeding, hearing loss",ENT
"mild fever, fatigue",General Physician
"difficulty starting urination, groin pain, back pain near kidneys",Urologist
"night urination, groin pain, burning urination",Urologist
"hip pain, bone pain, difficulty walking",Orthopedic
"lower back pain radiating, knee pain, difficulty walking",Orthopedic
"sensitivity to light, eye discharge",Ophthalmologist
"joint pain, lower back pain radiating, arthritis, knee pain",Orthopedic
"white discharge, period cramps, itching",Gynecologist
"pain while chewing, tooth sensitivity, broken tooth, pus near gum",Dentist
"night vision problem, foreign body sensation, dry eyes, difficulty seeing far",Ophthalmologist
"irregular periods, heavy bleeding, spotting",Gynecologist
"fever, low grade fever, sore throat",General Physician
"arthritis, knee pain, difficulty walking",Orthopedic
"tooth pain with headache, toothache",Dentist
"swelling, lower back pain radiating, muscle strain, hip pain",Orthopedic
"dry eyes, sensitivity to light, blurred vision, eye pain",Ophthalmologist
"ear discharge, swollen neck glands, tonsillitis",ENT
"low grade fever, loss of appetite",General Physician
"fever, low grade fever",General Physician
"loss of appetite, persistent bone pain, unexplained weight loss, unusual bleeding",Oncologist
"tooth sensitivity, gum swelling",Dentist
"missed period, white discharge, spotting, heavy bleeding",Gynecologist
"tooth pain with headache, bad breath, cavity pain, tooth sensitivity",Dentist
"itching, pregnancy nausea, postpartum bleeding, spotting",Gynecologist
"eczema, psoriasis, itching",Dermatologist
"skin allergy, itching, redness, psoriasis",Dermatologist
"blood in urine, back pain near kidneys, burning urination",Urologist
"ringworm, pigmentation, dry skin",Dermatologist
"leg swelling, sweating, high blood pressure",Cardiologist
"bleeding while brushing, bleeding gums, tooth sensitivity",Dentist
"bleeding gums, cavity pain, broken tooth",Dentist
"vaginal infection, breast tenderness, spotting",Gynecologist
"postpartum bleeding, heavy bleeding, breast tenderness",Gynecologist
"difficulty starting urination, blood in urine, lower abdominal pain urination, back pain near kidneys",Urologist
"pcos symptoms, breast tenderness, period cramps, lower abdominal pain",Gynecologist
"cold, flu, sore throat",General Physician
"bad breath, gum swelling, tooth pain with headache, bleeding gums",Dentist
"non healing ulcer, loss of appetite, blood in cough",Oncologist
"hives, itching, hair fall, psoriasis",Dermatologist
"speech difficulty, tremor, severe headache",Neurologist
"headache, sore throat, mild fever",General Physician
"ringworm, skin allergy, fungal infection",Dermatologist
"tingling, neck pain radiating, memory loss",Neurologist
"irregular periods, pelvic pain, pregnancy nausea, postpartum bleeding",Gynecologist
"food poisoning, acidity",Gastroenterologist
"addiction, mood swings",Psychiatrist
"burning urination, urinary urgency, frequent urination",Urologist
"blood in urine, difficulty starting urination, groin pain",Urologist
"lower abdominal pain urination, back pain near kidneys, groin pain, burning urination",Urologist
"swelling, hip pain, shoulder pain, knee pain",Orthopedic
"eczema, psoriasis",Dermatologist
"pregnancy nausea, painful periods, period cramps",Gynecologist
"breast tenderness, vaginal infection, postpartum bleeding, pregnancy nausea",Gynecologist
"newborn feeding issue, child wheezing, child cough, diarrhea",Pediatrician
"difficulty seeing far, itchy eyes",Ophthalmologist
"spotting, white discharge, missed period",Gynecologist
"swollen lymph nodes, persistent fatigue",Oncologist
"eye discharge, red eye, sensitivity to light, watering eyes",Ophthalmologist
"wrist injury, arthritis",Orthopedic
"burning urination, blood in urine, reduced urine flow, painful urination with fever",Urologist
"persistent bone pain, abdominal swelling",Oncologist
"tooth sensitivity, pus near gum, swollen gums",Dentist
"urine infection, night urination",Urologist
"bone pain, fracture, arthritis, back pain",Orthopedic
"irregular periods, spotting, breast tenderness",Gynecologist
"rapid heartbeat, left arm pain",Cardiologist
"swollen neck glands, sinus pain",ENT
"breathlessness at night, high blood pressure, left arm pain, fainting",Cardiologist
"child cough, baby vomiting, child fever",Pediatrician
"mild fever, low grade fever, loss of appetite",General Physician
"migraine, fainting, dizziness, confusion",Neurologist
"child stomach pain, newborn feeding issue, fast breathing",Pediatrician
"throat infection, ear pain, blocked nose",ENT
"dandruff, eczema, fungal infection",Dermatologist
"loss of appetite, gas, constipation",Gastroenterologist
"unexplained weight loss, persistent hoarseness, unusual bleeding, blood in stool",Oncologist
"child sore throat, dehydration, vaccination query",Pediatrician
"boils, dandruff, acne, hair fall",Dermatologist
"one sided weakness, balance problem",Neurologist
"sore throat, loss of appetite, cough, low grade fever",General Physician
"itching, breast tenderness, postpartum bleeding",Gynecologist
"blocked nose, swollen neck glands, throat infection",ENT
"severe headache, memory loss, seizure",Neurologist
"fainting, chest pain, fatigue with breathlessness",Cardiologist
"foreign body sensation, eye strain headache, eye discharge, sensitivity to light",Ophthalmologist
"cavity pain, tooth pain with headache",Dentist
"pcos symptoms, vaginal infection, postpartum bleeding",Gynecologist
"skin allergy, psoriasis",Dermatologist
"red eye, eye pain, difficulty seeing far, dry eyes",Ophthalmologist
"persistent fatigue, persistent bone pain, non healing ulcer, persistent hoarseness",Oncologist
"double vision, foreign body sensation, red eye, blurred vision",Ophthalmologist
"fainting, chest pain, palpitations",Cardiologist
"pus near gum, bad breath, gum swelling",Dentist
"hives, acne, ringworm, pigmentation",Dermatologist
"eye pain, double vision, eye strain headache",Ophthalmologist
"newborn feeding issue, baby vomiting, fast breathing",Pediatrician
"irregular periods, spotting",Gynecologist
"pus near gum, bleeding gums, bleeding while brushing, jaw pain",Dentist
"loss of voice, sore throat, runny nose",ENT
"stomach cramps, heartburn, acidity, loss of appetite",Gastroenterologist
"hip pain, joint pain",Orthopedic
"tingling, seizure, migraine",Neurologist
"kidney stone pain, urine leakage, testicular swelling, painful urination with fever",Urologist
"vaccination query, child fever",Pediatrician
"one sided weakness, numbness, severe headache",Neurologist
"stomach cramps, loss of appetite, constipation",Gastroenterologist
"body ache, low grade fever, loss of appetite",General Physician
"pus near gum, gum swelling, mouth ulcer",Dentist
"blood in cough, difficulty swallowing, blood in stool",Oncologist
"dizziness, fainting, shortness of breath",Cardiologist
"child fever, blocked nose, dehydration",Pediatrician
"itching, hair fall",Dermatologist
"dry eyes, eye strain headache, difficulty seeing far, sudden vision loss",Ophthalmologist
"breast tenderness, pcos symptoms, painful periods, white discharge",Gynecologist
"ringing in ear, sinus pain, tonsillitis",ENT
"unusual bleeding, unexplained weight loss, blood in stool",Oncologist
"heartburn, jaundice",Gastroenterologist
"sprain, difficulty walking, bone pain, joint pain",Orthopedic
"throat infection, allergic rhinitis",ENT
"eye pain, eye discharge",Ophthalmologist
"jaw pain, tooth pain with headache",Dentist
"dry eyes, eye pain, sudden vision loss",Ophthalmologist
"eczema, acne, fungal infection",Dermatologist
"vomiting, nausea, stomach cramps, abdominal pain",Gastroenterologist
"lower abdominal pain urination, burning urination, urine infection",Urologist
